"date","home_team","result","away_team","attendance","referee","place"
1991-03-16,"Brøndby IF","3-1","Viborg FF","5643","Svend Erik Christensen","Brøndby Stadion"
1991-03-16,"FC København","2-0","AaB","3317","Kaj Østergaard","Parken"
1991-03-16,"OB","1-1","Ikast FS","2815","Finn Lambek","Odense Stadion"
1991-03-16,"Silkeborg IF","0-0","Næstved IF","3246","Carl Laursen","Silkeborg Stadion"
1991-03-16,"AGF","0-0","Lyngby BK","1900","Lars Gerner","Århus Stadion"
1991-03-16,"Ikast FS","0-1","Brøndby IF","3044","Jan Damgaard","Ikast Stadion"
1991-03-16,"AaB","1-1","OB","3100","Kim Milton Nielsen","Aalborg Stadion"
1991-03-16,"Lyngby BK","2-2","Silkeborg IF","1433","Peter Mikkelsen","Lyngby Stadion"
1991-03-16,"Næstved IF","2-4","FC København","1928","Arne Hansen","Næstved Stadion"
1991-03-16,"Viborg FF","2-3","AGF","3095","Svend Erik Christensen","Viborg Stadion"
1991-03-16,"Brøndby IF","4-2","OB","3551","John P. Nielsen","Brøndby Stadion"
1991-03-16,"AGF","2-2","Ikast FS","2000","Peter Mikkelsen","Århus Stadion"
1991-03-16,"FC København","0-1","Lyngby BK","3054","Kim Milton Nielsen","Parken"
1991-03-16,"Næstved IF","2-3","AaB","475","Lars Gerner","Næstved Stadion"
1991-03-16,"Silkeborg IF","1-0","Viborg FF","1728","Finn Lambek","Silkeborg Stadion"
1991-03-16,"Ikast FS","2-2","Silkeborg IF","2335","Kim Milton Nielsen","Ikast Stadion"
1991-03-16,"Lyngby BK","2-2","Næstved IF","1033","Knud Erik Fisker","Lyngby Stadion"
1991-03-16,"OB","3-0","AGF","1393","Finn Lambek","Odense Stadion"
1991-03-16,"Viborg FF","2-7","FC København","823","Carl Laursen","Viborg Stadion"
1991-03-16,"AaB","2-2","Brøndby IF","2250","Peter Mikkelsen","Aalborg Stadion"
1991-03-16,"Brøndby IF","2-2","Silkeborg IF","9481","Arne Hansen","Brøndby Stadion"
1991-03-16,"Lyngby FC","0-3","FC København","3140","Kim Milton Nielsen","Lyngby Stadion"
1991-03-16,"Ikast FS","0-0","OB","1580","Svend Erik Christensen","Ikast Stadion"
1991-03-16,"AGF","1-1","AaB","2400","Lars Gerner","Århus Stadion"
1991-03-16,"FC København","1-3","AGF","5649","Peter Mikkelsen","Parken"
1991-03-16,"OB","0-3","Brøndby IF","8580","Kim Milton Nielsen","Odense Stadion"
1991-03-16,"Silkeborg IF","2-0","Lyngby FC","5141","Finn Lambek","Silkeborg Stadion"
1991-03-16,"AaB","1-0","Ikast FS","4100","Knud Erik Fisker","Aalborg Stadion"
1991-03-16,"AGF","0-3","Silkeborg IF","8300","Knud Erik Fisker","Århus Stadion"
1991-03-16,"Ikast FS","0-2","FC København","1652","Arne Hansen","Ikast Stadion"
1991-03-16,"Lyngby FC","2-1","Brøndby IF","4347","Svend Erik Christensen","Lyngby Stadion"
1991-03-16,"AaB","2-2","OB","4000","Finn Lambek","Aalborg Stadion"
1991-03-16,"Brøndby IF","2-1","AGF","7850","Finn Lambek","Brøndby Stadion"
1991-03-16,"FC København","3-3","AaB","4379","Svend Erik Christensen","Parken"
1991-03-16,"OB","1-0","Lyngby FC","2230","Lars Gerner","Odense Stadion"
1991-03-16,"Silkeborg IF","0-1","Ikast FS","4576","Peter Mikkelsen","Silkeborg Stadion"
1991-03-16,"AGF","0-1","Lyngby FC","4000","Arne Hansen","Århus Stadion"
1991-03-16,"FC København","1-1","OB","5650","Peter Mikkelsen","Parken"
1991-03-16,"Ikast FS","1-1","Brøndby IF","3347","Lars Gerner","Ikast Stadion"
1991-03-16,"AaB","1-1","Silkeborg IF","5500","Kim Milton Nielsen","Aalborg Stadion"
1991-03-16,"Brøndby IF","1-1","AaB","8782","Knud Erik Fisker","Brøndby Stadion"
1991-03-16,"Lyngby FC","1-2","Ikast FS","1287","Jørn West Larsen","Lyngby Stadion"
1991-03-16,"OB","2-0","AGF","3703","Knud Stadsgaard","Odense Stadion"
1991-03-16,"Silkeborg IF","5-0","FC København","6546","Lars Gerner","Silkeborg Stadion"
1991-03-16,"FC København","2-1","Brøndby IF","24123","Kim Milton Nielsen","Parken"
1991-03-16,"Ikast FS","0-1","AGF","2141","Finn Lambek","Ikast Stadion"
1991-03-16,"OB","3-0","Silkeborg IF","10716","Svend Erik Christensen","Odense Stadion"
1991-03-16,"AaB","2-0","Lyngby FC","5100","Peter Mikkelsen","Aalborg Stadion"
1991-03-16,"AGF","0-2","Brøndby IF","6000","Knud Stadsgaard","Århus Stadion"
1991-03-16,"Ikast FS","0-3","Silkeborg IF","4947","Arne Hansen","Ikast Stadion"
1991-03-16,"Lyngby FC","2-0","OB","1944","Lars Gerner","Lyngby Stadion"
1991-03-16,"AaB","0-3","FC København","11100","Jørn West Larsen","Aalborg Stadion"
1991-03-16,"Brøndby IF","2-1","Lyngby FC","8747","Finn Lambek","Brøndby Stadion"
1991-03-16,"FC København","2-1","Ikast FS","8081","Knud Stadsgaard","Parken"
1991-03-16,"OB","2-1","AaB","4131","Lars Gerner","Odense Stadion"
1991-03-16,"Silkeborg IF","1-0","AGF","6273","Peter Mikkelsen","Silkeborg Stadion"
1991-03-16,"AGF","0-1","FC København","4000","Lars Gerner","Århus Stadion"
1991-03-16,"Brøndby IF","0-0","OB","8362","Peter Mikkelsen","Brøndby Stadion"
1991-03-16,"Ikast FS","1-4","AaB","1416","Kim Milton Nielsen","Ikast Stadion"
1991-03-16,"Lyngby FC","4-1","Silkeborg IF","3558","Knud Erik Fisker","Lyngby Stadion"
1991-03-16,"FC København","3-0","Lyngby FC","8453","Arne Hansen","Parken"
1991-03-16,"OB","2-2","Ikast FS","4141","Knud Erik Fisker","Odense Stadion"
1991-03-16,"Silkeborg IF","1-0","Brøndby IF","11112","Svend Erik Christensen","Silkeborg Stadion"
1991-03-16,"AaB","0-0","AGF","4900","Finn Lambek","Aalborg Stadion"
1991-03-16,"AGF","2-4","Ikast FS","2800","Svend Erik Christensen","Århus Stadion"
1991-03-16,"Brøndby IF","1-0","FC København","14642","Knud Erik Fisker","Brøndby Stadion"
1991-03-16,"Lyngby FC","0-1","AaB","888","Knud Stadsgaard","Lyngby Stadion"
1991-03-16,"Silkeborg IF","1-0","OB","9025","Finn Lambek","Silkeborg Stadion"
1991-03-16,"AGF","2-1","OB","2200","Jørn West Larsen","Århus Stadion"
1991-03-16,"Ikast FS","2-2","Lyngby FC","1306","Finn Lambek","Ikast Stadion"
1991-03-16,"AaB","1-3","Brøndby IF","8700","Lars Gerner","Aalborg Stadion"
1991-03-16,"FC København","4-1","Silkeborg IF","26679","Peter Mikkelsen","Parken"
1991-03-16,"Brøndby IF","2-2","Ikast FS","5038","Knud Erik Fisker","Brøndby Stadion"
1991-03-16,"Lyngby FC","4-1","AGF","664","Lars Gerner","Lyngby Stadion"
1991-03-16,"OB","3-2","FC København","8851","Peter Mikkelsen","Odense Stadion"
1991-03-16,"Silkeborg IF","2-0","AaB","11674","Svend Erik Christensen","Silkeborg Stadion"
1991-03-16,"OB","1-0","AGF","2341","Finn Lambek","Odense Stadion"
1991-03-16,"Silkeborg IF","2-2","Lyngby FC","2903","Svend Erik Christensen","Silkeborg Stadion"
1991-03-16,"AaB","5-2","FC København","4900","Peter Mikkelsen","Aalborg Stadion"
1991-03-16,"Brøndby IF","1-0","Ikast FS","6274","Lars Gerner","Brøndby Stadion"
1991-03-16,"BK Fremad Amager","1-2","Næstved IF","4360","Knud Erik Fisker","Sundby Idrætspark"
1991-03-16,"AGF","0-2","Brøndby IF","4800","Peter Mikkelsen","Århus Stadion"
1991-03-16,"FC København","2-3","BK Fremad Amager","7224","Lars Gerner","Parken"
1991-03-16,"Ikast FS","1-2","AaB","1418","Knud Stadsgaard","Ikast Stadion"
1991-03-16,"Lyngby FC","2-1","OB","1504","Jørn West Larsen","Lyngby Stadion"
1991-03-16,"Næstved IF","0-0","Silkeborg IF","2922","Claus Bo Larsen","Næstved Stadion"
1991-03-16,"Brøndby IF","1-1","OB","5872","Svend Erik Christensen","Brøndby Stadion"
1991-03-16,"Silkeborg IF","3-3","FC København","4523","Knud Erik Fisker","Silkeborg Stadion"
1991-03-16,"BK Fremad Amager","3-2","Ikast FS","3983","Finn Lambek","Sundby Idrætspark"
1991-03-16,"Næstved IF","2-2","Lyngby FC","3009","Jørgen Johansen","Næstved Stadion"
1991-03-16,"AaB","5-0","AGF","8800","Arne Hansen","Aalborg Stadion"
1991-03-16,"AGF","2-1","BK Fremad Amager","2800","Claus Bo Larsen","Århus Stadion"
1991-03-16,"FC København","1-1","Næstved IF","4408","Arne Hansen","Parken"
1991-03-16,"Ikast FS","1-1","Silkeborg IF","2418","Jørgen Johansen","Ikast Stadion"
1991-03-16,"Lyngby FC","0-3","Brøndby IF","6174","Knud Stadsgaard","Lyngby Stadion"
1991-03-16,"OB","2-4","AaB","3829","Svend Erik Christensen","Odense Stadion"
1991-03-16,"BK Fremad Amager","0-2","OB","3825","Jørgen Johansen","Sundby Idrætspark"
1991-03-16,"FC København","0-3","Lyngby FC","5480","Svend Erik Christensen","Parken"
1991-03-16,"Næstved IF","2-2","Ikast FS","2466","Peter Mikkelsen","Næstved Stadion"
1991-03-16,"Silkeborg IF","0-0","AGF","4386","Finn Lambek","Silkeborg Stadion"
1991-03-16,"AaB","4-1","Brøndby IF","20533","Knud Erik Fisker","Aalborg Stadion"
1991-03-16,"AGF","2-2","Næstved IF","3700","Jørgen Johansen","Århus Stadion"
1991-03-16,"Brøndby IF","3-0","BK Fremad Amager","9221","Jørn West Larsen","Brøndby Stadion"
1991-03-16,"Ikast FS","2-0","FC København","2107","Claus Bo Larsen","Ikast Stadion"
1991-03-16,"Lyngby FC","3-0","AaB","6074","Arne Hansen","Lyngby Stadion"
